ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,holidays,holidays_lower,holidays_upper,lockdown_1,lockdown_1_lower,lockdown_1_upper,lockdown_2,lockdown_2_lower,lockdown_2_upper,lockdown_3,lockdown_3_lower,lockdown_3_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2022-08-31,284891.5232331608,216146.68006153696,308939.7174202511,284891.5232331608,284891.5232331608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0873394014324192,-0.0873394014324192,-0.0873394014324192,-0.0873394014324192,-0.0873394014324192,-0.0873394014324192,0.0,0.0,0.0,260009.2681208064
2022-09-30,287846.00048449915,240892.72536027202,335971.22841678216,287846.00048449915,287846.00048449915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3346579117924475e-05,3.3346579117924475e-05,3.3346579117924475e-05,3.3346579117924475e-05,3.3346579117924475e-05,3.3346579117924475e-05,0.0,0.0,0.0,287855.5991639281
2022-10-31,290898.9603108821,265075.34430856456,355575.0412433803,290898.9603108821,290898.9603108821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07430319855877336,0.07430319855877336,0.07430319855877336,0.07430319855877336,0.07430319855877336,0.07430319855877336,0.0,0.0,0.0,312513.6835194023
2022-11-30,293853.4375622204,227485.49130959524,321307.7499168071,293853.4375622204,293853.4375622204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07059415812489736,-0.07059415812489736,-0.07059415812489736,-0.07059415812489736,-0.07059415812489736,-0.07059415812489736,0.0,0.0,0.0,273109.10152540833
2022-12-31,296906.3973886033,220211.02170045697,315472.6907901102,296906.3973886033,296906.3973886033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.096209314907294,-0.096209314907294,-0.096209314907294,-0.096209314907294,-0.096209314907294,-0.096209314907294,0.0,0.0,0.0,268341.236304253
2023-01-31,299959.35721498623,238243.30506517697,334398.2561397677,299959.35721498623,299959.35721498623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04221124810657581,-0.04221124810657581,-0.04221124810657581,-0.04221124810657581,-0.04221124810657581,-0.04221124810657581,0.0,0.0,0.0,287297.6983656954
2023-02-28,302716.86931623536,246857.0951330923,339420.02283104364,302716.86931623536,302716.86931623536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028157471376554385,-0.028157471376554385,-0.028157471376554385,-0.028157471376554385,-0.028157471376554385,-0.028157471376554385,0.0,0.0,0.0,294193.1277332633
2023-03-31,305769.8291426182,277126.63471076626,377202.6366766634,305769.8291426182,305769.8291426182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07128384971886206,0.07128384971886206,0.07128384971886206,0.07128384971886206,0.07128384971886206,0.07128384971886206,0.0,0.0,0.0,327566.2796917828
2023-04-30,308724.3063939566,273325.97804884124,364910.97249193274,308724.3063939566,308724.3063939566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03734898109233482,0.03734898109233482,0.03734898109233482,0.03734898109233482,0.03734898109233482,0.03734898109233482,0.0,0.0,0.0,320254.8446762087
2023-05-31,311777.2662203395,255850.9145857849,353489.34406968724,311777.2662203395,311777.2662203395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.027963440543468637,-0.027963440543468637,-0.027963440543468637,-0.027963440543468637,-0.027963440543468637,-0.027963440543468637,0.0,0.0,0.0,303058.90117358183
