date_mvt,nb_sales,total_revenues
2015-07-28 00:00:00.000000 UTC,218,5446.37
2015-07-29 00:00:00.000000 UTC,251,6135.67
2015-07-30 00:00:00.000000 UTC,268,6533.6100000000006
2015-07-31 00:00:00.000000 UTC,200,5755.2800000000016
2015-08-01 00:00:00.000000 UTC,89,2021.83
2015-08-03 00:00:00.000000 UTC,195,6189.5300000000007
2015-08-04 00:00:00.000000 UTC,143,4074.8200000000006
2015-08-05 00:00:00.000000 UTC,193,5142.28
2015-08-06 00:00:00.000000 UTC,343,9230.07
2015-08-07 00:00:00.000000 UTC,270,5183.6099999999988
2015-08-08 00:00:00.000000 UTC,173,3297.09
2015-08-10 00:00:00.000000 UTC,190,6903.6900000000005
2015-08-11 00:00:00.000000 UTC,339,11205.219999999998
2015-08-12 00:00:00.000000 UTC,191,7010.619999999999
2015-08-13 00:00:00.000000 UTC,173,6392.7800000000007
2015-08-14 00:00:00.000000 UTC,222,5651.3700000000017
2015-08-15 00:00:00.000000 UTC,44,1798.7599999999998
2015-08-16 00:00:00.000000 UTC,2,24.0
2015-08-17 00:00:00.000000 UTC,111,3372.1399999999994
2015-08-18 00:00:00.000000 UTC,248,7379.7100000000009
2015-08-19 00:00:00.000000 UTC,145,3748.4600000000005
2015-08-20 00:00:00.000000 UTC,237,5692.6600000000017
2015-08-21 00:00:00.000000 UTC,332,8927.119999999999
2015-08-22 00:00:00.000000 UTC,112,2052.62
2015-08-24 00:00:00.000000 UTC,190,6075.8600000000006
2015-08-25 00:00:00.000000 UTC,190,7240.82
2015-08-26 00:00:00.000000 UTC,220,5021.59
2015-08-27 00:00:00.000000 UTC,238,6638.3500000000013
2015-08-28 00:00:00.000000 UTC,199,10423.119999999999
2015-08-29 00:00:00.000000 UTC,24,707.76
2015-08-31 00:00:00.000000 UTC,162,5309.21
2015-09-01 00:00:00.000000 UTC,235,6757.0199999999986
2015-09-02 00:00:00.000000 UTC,248,8935.3900000000012
2015-09-03 00:00:00.000000 UTC,284,10657.46
2015-09-04 00:00:00.000000 UTC,195,7697.92
2015-09-05 00:00:00.000000 UTC,113,2707.96
